UUID;Variety Denomination;Variety Denomination Synonym(s) ;UPOV Species Code;Variety Status;EU Variety Status;Variety ID;GMO;Hybrid;Organic;Pollinator;Registration Date;Maintainer N°
198135;Evelina;Evelina;BETAA_VUL_GVS;Surrendered;No;;N;;;;20/02/2001;264
198149;Extramonosaros;Extramonosaros;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;60
198233;Fabrizia KWS;Fabrizia KWS;BETAA_VUL_GVS;Surrendered;No;;N;;;;06/05/2009;
292801;Falco;;BETAA_VUL_GVS;Surrendered;No;;N;;;;;15
198248;Faro;Faro;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;16/01/2007;1266
198261;Fenice;Fenice;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;20/03/2003;
198276;Fiamma;Fiamma;BETAA_VUL_GVS;Surrendered;No;;N;;;;;256
198277;Fiammetta KWS;Fiammetta KWS;BETAA_VUL_GVS;Registered;Yes;;N;;;Spring;04/02/2020;183
198293;Fiorenza KWS;Fiorenza KWS;BETAA_VUL_GVS;Surrendered;No;;N;;;;06/05/2009;
198295;Firefly;Firefly;BETAA_VUL_GVS;Registered;Yes;;N;;;;20/10/2015;479
198299;Fit;Fit;BETAA_VUL_GVS;Surrendered;No;;N;;;;16/01/2007;1266
198303;Flamenco;Flamenco;BETAA_VUL_GVS;Surrendered;No;;N;;;;;107
198307;Flavia;Flavia;BETAA_VUL_GVS;Surrendered;No;;N;;;;15/09/2000;
198310;Flex;Flex;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;08/03/2007;
198325;Florida;Florida;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;08/03/2007;
198332;Format;Format;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;04/11/2002;1266
292806;Formula;Formula;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
198342;Forum;Forum;BETAA_VUL_GVS;Surrendered;No;;N;;;;;256
198343;Fox;Fox;BETAA_VUL_GVS;Registered;No;;N;;;;14/03/2005;571
198346;Franca;Franca;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;20/02/2001;264
292808;Francesca;Francesca;BETAA_VUL_GVS;Registered;Yes;;N;;;;26/02/2018;587
198368;Full;Full;BETAA_VUL_GVS;Registered;Yes;;N;;;;;571
198369;Funo;Funo;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;110
198373;Gabriela;Gabriela;BETAA_VUL_GVS;Surrendered;No;;N;;;;;264
198408;Gea;Gea;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;264
